variable,mean,min,median,max,nmissing,eltype
street_id,,1001,,99953,0,String
incidents_VIOLENCE,0.17372105546580507,0,0.0,23,0,Int64
incidents_LARCENY,0.46515885837372106,0,0.0,229,0,Int64
incidents_DRUGS,0.04975767366720517,0,0.0,25,0,Int64
incidents_BURGLARY,0.02778675282714055,0,0.0,11,0,Int64
category_AUTOMOTIVE,0.11523963381798599,0,0.0,8,0,Int64
category_BUSINESS,0.0009693053311793214,0,0.0,1,0,Int64
category_CULTURE,0.02617124394184168,0,0.0,6,0,Int64
category_EDUCATION,0.05105008077544426,0,0.0,10,0,Int64
category_ENTERTAINMENT_RECREATION,0.06246634356488961,0,0.0,8,0,Int64
category_FACILITIES,0.0,0,0.0,0,0,Int64
category_FINANCE,0.030479267635971998,0,0.0,4,0,Int64
category_FOOD_DRINK,0.16327409800753903,0,0.0,20,0,Int64
category_GOVERNMENT,0.012277867528271405,0,0.0,13,0,Int64
category_HEALTH_WELLNESS,0.264297253634895,0,0.0,27,0,Int64
category_LODGING,0.013354873451803985,0,0.0,4,0,Int64
category_PLACE_OF_WORSHIP,0.020247711362412494,0,0.0,6,0,Int64
category_SERVICES,0.260958535271944,0,0.0,21,0,Int64
category_SHOPPING,0.18836833602584815,0,0.0,26,0,Int64
category_SPORTS,0.05061927840603123,0,0.0,15,0,Int64
category_TRANSPORTATION,0.053850296176628974,0,0.0,6,0,Int64
arrests_VIOLENCE,0.12299407646742057,0,0.0,61,0,Int64
arrests_LARCENY,0.1605815831987076,0,0.0,160,0,Int64
arrests_DRUGS,0.05880452342487884,0,0.0,32,0,Int64
arrests_BURGLARY,0.018739903069466882,0,0.0,16,0,Int64
top_25_incidents_LARCENY,0.0010770059235325794,false,0.0,true,0,Bool
top_50_incidents_LARCENY,0.0050619278406031235,false,0.0,true,0,Bool
top_25_arrests_LARCENY,0.00032310177705977385,false,0.0,true,0,Bool
top_50_arrests_LARCENY,0.0011847065158858373,false,0.0,true,0,Bool
top_25_incidents_VIOLENCE,0.0050619278406031235,false,0.0,true,0,Bool
top_50_incidents_VIOLENCE,0.01680129240710824,false,0.0,true,0,Bool
top_25_arrests_VIOLENCE,0.0006462035541195477,false,0.0,true,0,Bool
top_50_arrests_VIOLENCE,0.004738826063543349,false,0.0,true,0,Bool
top_25_incidents_BURGLARY,0.0017232094776521271,false,0.0,true,0,Bool
top_50_incidents_BURGLARY,0.006138933764135703,false,0.0,true,0,Bool
top_25_arrests_BURGLARY,0.0004308023694130318,false,0.0,true,0,Bool
top_50_arrests_BURGLARY,0.0007539041464728056,false,0.0,true,0,Bool
top_25_incidents_DRUGS,0.0008616047388260636,false,0.0,true,0,Bool
top_50_incidents_DRUGS,0.003338718362950996,false,0.0,true,0,Bool
top_25_arrests_DRUGS,0.0010770059235325794,false,0.0,true,0,Bool
top_50_arrests_DRUGS,0.003769520732364028,false,0.0,true,0,Bool
top_jenks_manual_incidents_LARCENY,0.00010770059235325795,false,0.0,true,0,Bool
top_jenks_manual_arrests_LARCENY,0.00010770059235325795,false,0.0,true,0,Bool
top_jenks_manual_incidents_VIOLENCE,0.0002154011847065159,false,0.0,true,0,Bool
top_jenks_manual_arrests_VIOLENCE,0.00032310177705977385,false,0.0,true,0,Bool
top_jenks_manual_incidents_BURGLARY,0.00010770059235325795,false,0.0,true,0,Bool
top_jenks_manual_arrests_BURGLARY,0.0002154011847065159,false,0.0,true,0,Bool
top_jenks_manual_incidents_DRUGS,0.00010770059235325795,false,0.0,true,0,Bool
top_jenks_manual_arrests_DRUGS,0.00010770059235325795,false,0.0,true,0,Bool
